"year","no_of_transaction","total_qty","total_revenue_usd"
"2016-12-31 09:00:15","2","1049","5269.51"
"2016-12-31 08:48:17","25","13148","88946.14"
"2016-12-31 07:32:27","4","2705","17439.25"
"2016-12-31 07:20:22","24","9805","54114.02"
"2016-12-31 07:01:40","20","6984","37796.28"
"2016-12-31 06:55:38","27","11313","62148.87"
"2016-12-31 04:25:38","58","27235","147599.56"
"2016-12-31 03:51:05","68","40412","275288.30"
"2016-12-31 03:44:45","57","22177","119965.08"
"2016-12-31 02:08:50","63","21706","118879.76"
"2016-12-31 00:52:34","37","20761","135730.44"
"2016-12-31 00:08:09","4","2117","14482.60"
"2016-12-30 23:27:34","21","8585","47645.86"
"2016-12-30 21:06:53","7","2677","15177.80"
"2016-12-30 20:15:48","2","371","2372.95"
"2016-12-30 20:11:28","30","21964","139015.09"
"2016-12-30 17:51:36","2","1430","9339.20"
"2016-12-30 16:23:37","32","14894","86362.70"
"2016-12-30 15:57:41","2","678","3780.53"
"2016-12-30 15:29:52","2","1586","10187.64"
"2016-12-30 14:38:17","8","4687","31273.02"
"2016-12-30 10:30:31","7","3940","26514.93"
"2016-12-30 08:42:44","9","4120","21937.08"
"2016-12-30 06:52:24","8","5605","38569.85"
"2016-12-30 05:57:26","8","3121","21692.01"
"2016-12-30 05:10:40","2","371","2372.95"
"2016-12-30 04:31:50","2","678","3780.53"
"2016-12-30 03:43:11","10","4536","25107.81"
"2016-12-30 01:06:17","2","1586","10187.64"
"2016-12-29 21:41:07","19","11294","77628.11"
"2016-12-29 17:21:02","50","25343","140046.68"
"2016-12-29 15:50:29","9","4034","22734.13"
"2016-12-29 15:01:10","41","26597","185463.76"
"2016-12-29 14:51:48","9","3870","20240.66"
"2016-12-29 14:42:41","7","3940","26514.93"
"2016-12-29 11:33:21","4","2349","16257.21"
"2016-12-29 10:38:58","49","21791","122957.11"
"2016-12-29 10:08:28","2","1723","10067.87"
"2016-12-29 07:47:01","65","39187","269155.34"
"2016-12-29 06:59:56","31","13364","72875.84"
"2016-12-29 04:57:08","27","18427","131318.64"
"2016-12-29 04:28:16","61","35358","238962.47"
"2016-12-29 03:12:33","14","6476","36218.43"
"2016-12-29 02:46:32","4","1773","9613.32"
"2016-12-29 02:39:56","25","19190","123847.32"
"2016-12-29 01:40:46","66","43730","300694.79"
"2016-12-29 01:29:37","60","47506","326819.48"
"2016-12-29 01:26:31","9","4120","21937.08"
"2016-12-28 23:23:53","40","15469","84768.94"
"2016-12-28 22:53:54","9","4034","22734.13"
"2016-12-28 22:50:57","1","185","1113.29"
"2016-12-28 21:46:53","2","1686","10779.77"
"2016-12-28 21:11:27","4","2734","19090.45"
"2016-12-28 20:47:49","15","10358","65091.39"
"2016-12-28 20:25:22","4","1425","7971.51"
"2016-12-28 20:16:53","12","5831","36294.27"
"2016-12-28 17:08:28","1","529","2670.97"
"2016-12-28 16:32:24","5","2252","15184.46"
"2016-12-28 16:12:58","57","33190","205886.97"
"2016-12-28 15:05:45","1","529","2670.97"
"2016-12-28 15:05:33","5","1931","10699.35"
"2016-12-28 13:44:22","6","3117","20092.35"
"2016-12-28 13:31:29","6","3659","19023.36"
"2016-12-28 12:34:06","20","9824","64604.00"
"2016-12-28 12:25:09","2","1463","9715.71"
"2016-12-28 12:13:45","57","27248","153015.87"
"2016-12-28 09:48:50","65","24655","137600.67"
"2016-12-28 08:16:10","6","3392","23667.51"
"2016-12-28 07:57:09","1","185","1113.29"
"2016-12-28 07:28:16","2","1557","10323.23"
"2016-12-28 07:15:46","2","1686","10779.77"
"2016-12-28 07:00:16","5","1975","10959.77"
"2016-12-28 05:30:18","9","3022","16626.60"
"2016-12-28 04:22:18","2","1463","9715.71"
"2016-12-28 04:05:11","62","24538","137227.88"
"2016-12-28 04:02:33","20","8003","42881.21"
"2016-12-28 03:14:05","6","3117","20092.35"
"2016-12-28 02:18:25","29","11430","60936.18"
"2016-12-28 01:58:24","9","3711","19218.88"
"2016-12-27 21:42:52","13","6126","32226.37"
"2016-12-27 18:13:15","2","1088","7460.32"
"2016-12-27 16:23:04","6","3384","21960.88"
"2016-12-27 14:46:32","4","1719","10833.11"
"2016-12-27 12:59:27","1","399","2129.24"
"2016-12-27 11:02:52","51","21887","116165.15"
"2016-12-27 09:27:49","14","9032","59086.76"
"2016-12-27 08:20:27","31","13364","72875.84"
"2016-12-27 06:00:25","5","2201","11531.70"
"2016-12-27 05:53:18","6","3384","21960.88"
"2016-12-27 03:54:44","13","6448","38469.65"
"2016-12-27 03:43:31","24","8110","43692.29"
"2016-12-27 02:56:55","7","4617","31971.72"
"2016-12-27 02:45:42","2","1088","7460.32"
"2016-12-27 02:12:02","31","20795","134039.25"
"2016-12-26 21:15:17","16","8832","59727.21"
"2016-12-26 19:28:55","19","11294","77628.11"
"2016-12-26 18:41:54","61","35750","241711.25"
"2016-12-26 18:34:34","4","1641","10212.06"
"2016-12-26 17:03:29","14","6366","33673.86"
"2016-12-26 16:46:01","6","4868","32645.38"
"2016-12-26 15:11:38","17","9622","64251.56"
"2016-12-26 14:26:39","25","14397","96593.53"
"2016-12-26 14:24:16","40","15469","84768.94"
"2016-12-26 13:35:02","29","12331","67909.96"
"2016-12-26 12:10:25","22","14081","94725.92"
"2016-12-26 11:17:36","2","1214","8364.40"
"2016-12-26 10:48:11","19","8437","45873.47"
"2016-12-26 08:31:22","13","33156","255319.18"
"2016-12-26 07:49:33","2","1214","8364.40"
"2016-12-26 07:16:33","4","1425","7971.51"
"2016-12-26 06:35:15","9","5794","37465.37"
"2016-12-26 05:35:13","17","10798","75600.49"
"2016-12-26 04:09:53","60","39570","253635.75"
"2016-12-26 02:45:56","5","2791","19142.48"
"2016-12-25 23:22:27","11","6738","45967.25"
"2016-12-25 20:19:48","19","9524","59946.40"
"2016-12-25 16:59:27","1","1363","7474.32"
"2016-12-25 16:56:01","67","40904","281018.36"
"2016-12-25 14:38:11","35","15177","83419.38"
"2016-12-25 14:06:31","7","2677","15177.80"
"2016-12-25 11:13:47","8","5182","33028.08"
"2016-12-25 10:58:46","4","2349","16257.21"
"2016-12-25 10:35:26","10","3810","20767.15"
"2016-12-25 10:34:03","18","9446","56162.34"
"2016-12-25 09:29:08","24","9805","54114.02"
"2016-12-25 03:51:33","1","1363","7474.32"
"2016-12-25 02:00:03","11","3778","19882.16"
"2016-12-25 00:26:13","25","12011","80328.56"
"2016-12-24 23:49:52","7","2888","15716.26"
"2016-12-24 22:56:26","7","3575","22961.03"
"2016-12-24 22:28:04","12","7119","49162.70"
"2016-12-24 21:41:09","21","8585","47645.86"
"2016-12-24 20:56:51","43","16849","94684.25"
"2016-12-24 19:24:39","9","5794","37465.37"
"2016-12-24 15:43:59","6","3693","25765.95"
"2016-12-24 13:33:19","6","3693","25765.95"
"2016-12-24 12:40:52","12","7119","49162.70"
"2016-12-24 09:53:31","58","24155","135924.15"
"2016-12-24 09:41:10","20","7613","41161.06"
"2016-12-24 08:28:49","58","27235","147599.56"
"2016-12-24 06:43:54","4","1185","6497.70"
"2016-12-24 06:38:55","12","6148","40607.07"
"2016-12-24 05:57:32","66","49246","345618.59"
"2016-12-24 05:35:14","28","18924","124014.87"
"2016-12-24 04:23:36","40","23129","157782.52"
"2016-12-24 01:51:58","12","5194","27733.33"
"2016-12-23 21:33:22","57","22177","119965.08"
"2016-12-23 21:31:16","4","2426","16976.76"
"2016-12-23 21:06:24","9","20497","111810.55"
"2016-12-23 19:25:19","4","3772","23522.79"
"2016-12-23 18:47:48","4","1331","7192.13"
"2016-12-23 18:46:15","46","17788","96376.94"
"2016-12-23 17:48:09","9","20497","111810.55"
"2016-12-23 17:10:24","55","31887","217473.85"
"2016-12-23 14:35:49","29","17538","119173.59"
"2016-12-23 13:25:25","25","14382","98474.44"
"2016-12-23 13:01:50","37","22902","154811.43"
"2016-12-23 11:26:45","4","3772","23522.79"
"2016-12-23 11:19:06","4","1902","10264.51"
"2016-12-23 09:50:28","5","2878","19386.53"
"2016-12-23 09:34:51","37","21024","117862.77"
"2016-12-23 05:32:07","43","28601","188457.46"
"2016-12-23 03:39:16","9","20497","111810.55"
"2016-12-23 03:16:38","12","9429","61561.44"
"2016-12-23 02:28:00","3","1516","7615.47"
"2016-12-22 23:20:15","67","40904","281018.36"
"2016-12-22 22:07:42","61","24119","132868.82"
"2016-12-22 21:10:47","40","24120","127671.94"
"2016-12-22 20:37:36","1","425","2372.11"
"2016-12-22 20:11:57","4","1902","10264.51"
"2016-12-22 20:10:57","10","8476","57059.76"
"2016-12-22 20:07:06","7","2388","12868.38"
"2016-12-22 18:19:47","2","465","2674.04"
"2016-12-22 17:33:55","25","19190","123847.32"
"2016-12-22 16:22:45","1","477","2440.31"
"2016-12-22 14:51:55","21","6965","38204.46"
"2016-12-22 14:46:51","2","1049","5269.51"
"2016-12-22 14:03:58","1","477","2440.31"
"2016-12-22 13:44:54","10","5586","38198.82"
"2016-12-22 12:14:11","1","425","2372.11"
"2016-12-22 11:02:44","5","1931","10699.35"
"2016-12-22 09:05:24","20","12296","82013.05"
"2016-12-22 01:53:50","2","1049","5269.51"
"2016-12-22 01:25:38","57","22552","123503.18"
"2016-12-21 23:54:29","15","5153","28296.53"
"2016-12-21 23:26:06","23","4400","27558.30"
"2016-12-21 23:18:36","4","2734","19090.45"
"2016-12-21 22:53:48","38","21165","143471.26"
"2016-12-21 22:25:34","2","1179","8133.47"
"2016-12-21 22:14:03","38","21165","143471.26"
"2016-12-21 22:00:52","3","1632","10555.35"
"2016-12-21 21:00:55","11","4920","26339.70"
"2016-12-21 20:05:18","14","6366","33673.86"
"2016-12-21 19:41:28","38","21165","143471.26"
"2016-12-21 18:30:33","23","9789","54792.72"
"2016-12-21 18:10:57","43","16849","94684.25"
"2016-12-21 17:43:33","58","24155","135924.15"
"2016-12-21 17:26:04","23","9789","54792.72"
"2016-12-21 16:14:29","1","541","2734.59"
"2016-12-21 15:46:23","6","4202","30741.01"
"2016-12-21 13:14:30","13","2244","14629.16"
"2016-12-21 12:33:26","16","9674","65958.07"
"2016-12-21 10:29:36","1","541","2734.59"
"2016-12-21 09:41:26","1","364","1982.74"
"2016-12-21 09:07:56","10","8476","57059.76"
"2016-12-21 09:05:00","3","1567","10282.96"
"2016-12-21 08:54:57","23","14424","99125.76"
"2016-12-21 08:48:44","49","21791","122957.11"
"2016-12-21 08:42:45","3","1413","7313.08"
"2016-12-21 08:23:09","1","364","1982.74"
"2016-12-21 05:47:06","1","541","2734.59"
"2016-12-21 05:26:31","1","364","1982.74"
"2016-12-21 05:03:04","18","5000","33982.78"
"2016-12-21 04:30:40","19","11636","79488.37"
"2016-12-21 04:28:41","25","14929","96779.18"
"2016-12-21 03:03:31","5","2509","16303.42"
"2016-12-21 02:56:47","5","861","5321.23"
"2016-12-21 02:54:18","2","1179","8133.47"
"2016-12-21 01:24:03","13","7434","52020.60"
"2016-12-20 22:15:41","23","8419","45557.51"
"2016-12-20 22:02:57","60","28629","163579.18"
"2016-12-20 21:00:33","19","8437","45873.47"
"2016-12-20 20:21:15","8","5150","35487.34"
"2016-12-20 20:14:57","43","27077","179761.43"
"2016-12-20 20:02:46","11","4177","22266.77"
"2016-12-20 19:59:58","57","24087","130964.11"
"2016-12-20 19:51:08","40","24120","127671.94"
"2016-12-20 18:53:02","4","2705","17439.25"
"2016-12-20 18:50:49","4","2705","17439.25"
"2016-12-20 18:00:34","8","4256","28678.06"
"2016-12-20 15:49:34","10","5233","34839.82"
"2016-12-20 15:13:30","16","3298","19963.61"
"2016-12-20 13:52:13","15","10358","65091.39"
"2016-12-20 12:50:04","6","2114","11862.92"
"2016-12-20 11:13:25","40","24120","127671.94"
"2016-12-20 10:00:58","5","1232","7940.37"
"2016-12-20 09:26:37","30","21716","144865.83"
"2016-12-20 04:56:47","58","24948","138323.59"
"2016-12-20 04:00:48","10","4536","25107.81"
"2016-12-20 02:46:32","12","10221","73833.01"
"2016-12-20 02:26:11","5","6026","37010.95"
"2016-12-20 00:04:00","56","24182","135822.85"
"2016-12-19 23:02:00","2","1586","10187.64"
"2016-12-19 21:55:17","65","36887","251299.77"
"2016-12-19 21:08:31","7","16320","90105.16"
"2016-12-19 18:09:02","28","12723","67459.65"
"2016-12-19 17:01:41","2","1515","9980.93"
"2016-12-19 16:02:19","20","9333","49975.93"
"2016-12-19 14:46:08","49","29101","200174.66"
"2016-12-19 13:59:25","5","2509","16303.42"
"2016-12-19 13:25:35","19","9539","51477.19"
"2016-12-19 13:11:05","1","164","859.64"
"2016-12-19 12:21:00","2","1515","9980.93"
"2016-12-19 12:09:25","10","5169","34675.03"
"2016-12-19 07:27:18","56","44750","231856.98"
"2016-12-19 07:13:40","27","6288","42065.82"
"2016-12-19 06:12:11","17","9622","64251.56"
"2016-12-19 05:05:50","11","2444","15727.19"
"2016-12-19 04:12:16","4","1286","7210.91"
"2016-12-19 04:06:52","8","5605","38569.85"
"2016-12-19 03:45:30","5","1975","10959.77"
"2016-12-19 00:37:07","2","1586","10187.64"
"2016-12-18 20:52:48","16","3298","19963.61"
"2016-12-18 20:03:10","2","2007","14875.19"
"2016-12-18 18:55:56","6","3841","26485.87"
"2016-12-18 18:45:04","11","5292","30083.18"
"2016-12-18 18:22:36","7","2977","15782.23"
"2016-12-18 18:19:48","66","49246","345618.59"
"2016-12-18 17:45:41","13","33156","255319.18"
"2016-12-18 17:04:12","12","8257","56179.21"
"2016-12-18 14:48:37","6","6356","44535.04"
"2016-12-18 14:27:03","3","1971","13038.64"
"2016-12-18 13:38:53","13","6448","38469.65"
"2016-12-18 10:42:35","3","1180","6402.38"
"2016-12-18 10:24:09","4","1902","10264.51"
"2016-12-18 09:22:53","24","8110","43692.29"
"2016-12-18 07:41:07","2","2007","14875.19"
"2016-12-18 07:18:28","4","1827","11814.55"
"2016-12-18 06:48:52","3","1074","5616.90"
"2016-12-18 05:13:46","27","11746","64536.17"
"2016-12-18 04:49:20","27","11746","64536.17"
"2016-12-18 03:52:21","27","18427","131318.64"
"2016-12-18 03:21:31","29","16806","112176.03"
"2016-12-18 03:09:48","25","12011","80328.56"
"2016-12-18 02:48:51","23","22841","167271.80"
"2016-12-18 00:34:51","31","17836","118867.17"
"2016-12-17 23:38:20","51","34627","237781.30"
"2016-12-17 22:41:07","2","515","2844.46"
"2016-12-17 21:55:03","55","24656","130153.59"
"2016-12-17 20:34:21","57","27248","153015.87"
"2016-12-17 19:54:09","16","8567","57035.05"
"2016-12-17 19:11:55","25","14929","96779.18"
"2016-12-17 13:29:28","10","4536","25107.81"
"2016-12-17 13:24:36","9","6661","46822.63"
"2016-12-17 13:18:15","16","8567","57035.05"
"2016-12-17 12:32:01","59","28107","153705.10"
"2016-12-17 12:26:52","6","3659","19023.36"
"2016-12-17 09:12:07","10","3979","22484.81"
"2016-12-17 08:16:33","9","3549","18491.51"
"2016-12-17 06:03:46","24","16024","105115.44"
"2016-12-17 05:24:31","2","419","2438.51"
"2016-12-17 03:04:28","5","2201","11531.70"
"2016-12-17 01:27:14","24","10477","55883.55"
"2016-12-17 00:56:29","35","16574","94244.44"
"2016-12-17 00:43:03","9","5661","36982.12"
"2016-12-16 23:36:10","46","17788","96376.94"
"2016-12-16 22:40:02","4","1425","7971.51"
"2016-12-16 21:18:17","6","3392","23667.51"
"2016-12-16 17:07:47","10","5586","38198.82"
"2016-12-16 16:39:09","1","565","3025.65"
"2016-12-16 14:23:55","12","6065","38851.15"
"2016-12-16 14:22:01","1","565","3025.65"
"2016-12-16 13:23:36","17","5915","32044.55"
"2016-12-16 12:32:31","29","11430","60936.18"
"2016-12-16 12:22:17","18","10930","75130.50"
"2016-12-16 10:11:30","9","4120","21937.08"
"2016-12-16 08:59:32","12","5831","36294.27"
"2016-12-16 05:20:16","13","4734","25526.30"
"2016-12-16 03:26:56","25","14397","96593.53"
"2016-12-16 03:15:28","11","4920","26339.70"
"2016-12-16 01:39:18","6","3384","21960.88"
"2016-12-15 20:19:47","18","9446","56162.34"
"2016-12-15 20:17:48","35","15177","83419.38"
"2016-12-15 20:16:59","12","6148","40607.07"
"2016-12-15 15:37:05","23","8419","45557.51"
"2016-12-15 15:26:48","28","12723","67459.65"
"2016-12-15 14:46:58","1","508","2566.22"
"2016-12-15 13:58:40","56","24182","135822.85"
"2016-12-15 13:11:13","4","1185","6497.70"
"2016-12-15 12:05:27","6","3841","26485.87"
"2016-12-15 11:48:47","2","419","2438.51"
"2016-12-15 11:43:49","27","6258","38648.01"
"2016-12-15 11:37:07","12","5831","36294.27"
"2016-12-15 10:23:36","12","5194","27733.33"
"2016-12-15 09:14:53","35","19596","131173.41"
"2016-12-15 08:34:56","9","3593","20277.57"
"2016-12-15 07:10:59","66","43730","300694.79"
"2016-12-15 04:58:31","49","29101","200174.66"
"2016-12-15 04:31:04","10","6886","44407.22"
"2016-12-15 03:19:29","12","7119","49162.70"
"2016-12-15 00:02:17","4","1331","7192.13"
"2016-12-14 23:48:44","56","24182","135822.85"
"2016-12-14 23:31:48","11","4564","24961.87"
"2016-12-14 20:56:25","43","8276","51647.76"
"2016-12-14 20:13:09","12","8582","57130.53"
"2016-12-14 20:10:32","9","6661","46822.63"
"2016-12-14 19:08:07","9","3990","22100.01"
"2016-12-14 17:29:57","9","3870","20240.66"
"2016-12-14 15:44:44","15","5153","28296.53"
"2016-12-14 11:19:23","4","1286","6962.07"
"2016-12-14 09:24:55","9","3022","16626.60"
"2016-12-14 05:42:42","17","10798","75600.49"
"2016-12-14 04:55:25","21","8842","47487.78"
"2016-12-14 04:30:14","20","8003","42881.21"
"2016-12-14 03:50:55","5","861","5321.23"
"2016-12-14 02:35:02","16","8832","59727.21"
"2016-12-14 01:40:30","9","3990","22100.01"
"2016-12-13 22:15:38","15","10031","66812.24"
"2016-12-13 20:57:57","7","3575","22961.03"
"2016-12-13 16:35:44","2","1578","9995.05"
"2016-12-13 16:30:17","2","1221","8431.81"
"2016-12-13 16:14:40","23","9285","49930.29"
"2016-12-13 15:40:26","31","17836","118867.17"
"2016-12-13 12:03:04","14","11214","75110.81"
"2016-12-13 10:52:11","11","4564","24961.87"
"2016-12-13 08:45:32","2","1578","9995.05"
"2016-12-13 06:57:12","8","14806","110027.29"
"2016-12-13 06:30:18","27","14896","101553.15"
"2016-12-13 04:05:35","2","1221","8431.81"
"2016-12-13 03:48:45","3","1725","11243.63"
"2016-12-13 00:52:49","5","1975","10959.77"
"2016-12-13 00:21:01","61","35750","241711.25"
"2016-12-12 23:13:45","10","5233","34839.82"
"2016-12-12 22:27:05","8","4256","28678.06"
"2016-12-12 22:17:43","14","6476","36218.43"
"2016-12-12 21:26:40","14","6175","32937.93"
"2016-12-12 21:21:10","4","1719","10833.11"
"2016-12-12 20:20:07","18","10930","75130.50"
"2016-12-12 18:29:51","20","8003","42881.21"
"2016-12-12 16:33:17","4","3089","20232.97"
"2016-12-12 15:47:37","23","8419","45557.51"
"2016-12-12 09:32:32","4","1719","10833.11"
"2016-12-12 09:05:35","10","3835","20257.43"
"2016-12-12 07:31:09","5","2252","15184.46"
"2016-12-12 04:42:40","42","7799","47417.76"
"2016-12-12 03:32:29","66","39863","272672.84"
"2016-12-12 02:20:25","35","19596","131173.41"
"2016-12-12 02:04:53","9","5794","37465.37"
"2016-12-12 01:20:19","49","21791","122957.11"
"2016-12-11 22:08:46","5","2185","11501.84"
"2016-12-11 22:08:12","12","5194","27733.33"
"2016-12-11 22:02:47","5","6026","37010.95"
"2016-12-11 18:05:10","37","22902","154811.43"
"2016-12-11 17:46:05","4","2696","18242.74"
"2016-12-11 15:50:52","7","2677","15177.80"
"2016-12-11 15:47:20","27","11313","62148.87"
"2016-12-11 15:07:43","23","6617","46208.37"
"2016-12-11 12:36:39","7","2677","15177.80"
"2016-12-11 10:11:04","50","25343","140046.68"
"2016-12-11 10:05:05","43","16849","94684.25"
"2016-12-11 09:32:20","10","3835","20257.43"
"2016-12-11 08:29:57","58","34963","235051.07"
"2016-12-11 07:58:56","68","40535","278575.64"
"2016-12-11 05:36:36","4","1286","7210.91"
"2016-12-11 00:45:02","16","9674","65958.07"
"2016-12-11 00:43:13","4","1496","8759.93"
"2016-12-11 00:36:56","10","3810","20767.15"
"2016-12-11 00:03:53","4","1286","6962.07"
"2016-12-10 23:25:34","15","9207","61255.50"
"2016-12-10 23:16:36","1","399","2129.24"
"2016-12-10 23:14:01","10","8476","57059.76"
"2016-12-10 23:12:38","16","8832","59727.21"
"2016-12-10 21:32:40","7","4015","27074.63"
"2016-12-10 20:26:08","1","410","2155.98"
"2016-12-10 17:30:30","14","5393","29151.21"
"2016-12-10 16:25:27","29","17538","119173.59"
"2016-12-10 16:08:05","5","2403","16791.91"
"2016-12-10 14:53:04","19","9539","51477.19"
"2016-12-10 13:45:59","2","456","3093.95"
"2016-12-10 13:44:43","1","399","2129.24"
"2016-12-10 12:52:43","7","2977","15782.23"
"2016-12-10 10:19:10","23","4400","27558.30"
"2016-12-10 10:16:23","2","1723","10067.87"
"2016-12-10 09:30:58","1","410","2155.98"
"2016-12-10 09:06:01","6","748","3927.05"
"2016-12-10 06:22:02","2","456","3093.95"
"2016-12-10 06:21:32","3","1725","11243.63"
"2016-12-10 05:10:49","5","1931","10699.35"
"2016-12-10 04:40:44","18","10985","66381.57"
"2016-12-10 01:23:05","6","6356","44535.04"
"2016-12-09 22:56:38","1","199","1235.81"
"2016-12-09 22:36:12","58","24116","163887.39"
"2016-12-09 20:21:10","15","9469","62504.05"
"2016-12-09 19:56:44","65","39187","269155.34"
"2016-12-09 15:23:42","5","2185","11501.84"
"2016-12-09 14:57:43","3","1971","13038.64"
"2016-12-09 14:28:26","20","9333","49975.93"
"2016-12-09 14:05:44","22","14081","94725.92"
"2016-12-09 13:50:17","9","4034","22734.13"
"2016-12-09 09:24:52","1","199","1235.81"
"2016-12-09 09:04:35","13","7434","52020.60"
"2016-12-09 07:33:27","7","3575","22961.03"
"2016-12-09 06:59:38","11","10030","67439.95"
"2016-12-09 05:31:47","65","36887","251299.77"
"2016-12-09 05:24:10","4","3089","20232.97"
"2016-12-09 05:15:21","60","28629","163579.18"
"2016-12-09 04:45:07","6","2114","11862.92"
"2016-12-09 04:31:14","7","3575","22961.03"
"2016-12-09 00:40:45","20","8003","42881.21"
"2016-12-08 23:13:10","51","23299","125968.04"
"2016-12-08 21:34:14","13","5808","30708.92"
"2016-12-08 15:24:52","61","24119","132868.82"
"2016-12-08 13:57:18","9","3549","18491.51"
"2016-12-08 13:22:27","41","26597","185463.76"
"2016-12-08 09:52:20","58","28452","160051.04"
"2016-12-08 08:57:38","7","2888","15716.26"
"2016-12-08 08:55:46","5","2403","16791.91"
"2016-12-08 04:16:23","17","11480","76630.92"
"2016-12-08 03:52:44","53","24215","135517.95"
"2016-12-07 18:30:17","27","17563","115376.17"
"2016-12-07 17:45:53","21","8585","47645.86"
"2016-12-07 17:41:24","2","1557","10323.23"
"2016-12-07 15:17:20","13","6126","32226.37"
"2016-12-07 14:59:54","4","2705","17439.25"
"2016-12-07 12:21:09","4","2633","16923.55"
"2016-12-07 11:51:10","8","4687","31273.02"
"2016-12-07 10:32:44","13","6728","46725.41"
"2016-12-07 10:27:39","7","2888","15716.26"
"2016-12-07 09:59:57","50","40833","293861.14"
"2016-12-07 07:37:37","2","1557","10323.23"
"2016-12-07 06:14:50","13","6728","46725.41"
"2016-12-07 03:19:38","33","13464","72788.52"
"2016-12-07 02:31:52","5","894","5735.41"
"2016-12-07 00:15:08","71","42358","291047.25"
"2016-12-06 21:35:50","13","4721","25765.17"
"2016-12-06 20:20:02","2","1723","10067.87"
"2016-12-06 15:00:10","13","2379","15454.01"
"2016-12-06 14:14:01","3","1493","9914.23"
"2016-12-06 14:01:21","12","7119","49162.70"
"2016-12-06 13:12:58","56","22852","126898.91"
"2016-12-06 11:28:33","6","2114","11862.92"
"2016-12-06 09:59:17","8","5182","33028.08"
"2016-12-06 06:10:49","6","2994","19539.86"
"2016-12-06 04:21:12","12","8257","56179.21"
"2016-12-06 04:12:56","10","3979","22484.81"
"2016-12-06 04:07:09","3","1413","7313.08"
"2016-12-06 03:32:20","10","5338","35961.76"
"2016-12-06 02:50:47","5","1380","9618.81"
"2016-12-06 01:35:41","63","21706","118879.76"
"2016-12-06 00:54:54","25","14929","96779.18"
"2016-12-06 00:04:25","6","3117","20092.35"
"2016-12-06 00:00:18","51","34627","237781.30"
"2016-12-05 20:59:30","57","22177","119965.08"
"2016-12-05 20:26:28","4","1773","9613.32"
"2016-12-05 16:53:38","25","13148","88946.14"
"2016-12-05 14:50:32","2","515","2844.46"
"2016-12-05 10:53:43","66","49246","345618.59"
"2016-12-05 08:36:01","5","1931","10699.35"
"2016-12-05 04:48:11","2","515","2844.46"
"2016-12-05 02:28:32","58","27235","147599.56"
"2016-12-05 01:07:36","42","24507","167717.40"
"2016-12-05 00:44:57","15","10031","66812.24"
"2016-12-05 00:07:46","5","1931","10699.35"
"2016-12-04 21:26:18","4","1331","7192.13"
"2016-12-04 21:03:52","35","15177","83419.38"
"2016-12-04 20:06:04","17","11480","76630.92"
"2016-12-04 19:44:17","4","1719","10833.11"
"2016-12-04 17:00:09","11","6738","45967.25"
"2016-12-04 14:59:38","6","6356","44535.04"
"2016-12-04 14:42:26","11","6738","45967.25"
"2016-12-04 11:56:55","1","508","2566.22"
"2016-12-04 10:00:49","56","24182","135822.85"
"2016-12-04 09:46:10","56","24182","135822.85"
"2016-12-04 07:48:55","1","508","2566.22"
